angle,val
0,19259
5,19128
10,18991
15,18895
20,18775
25,18663
30,18567
35,18427
40,18311
45,18201
50,18074
55,17966
60,17878
65,17740
70,17634
75,17494
80,17384
85,17281
90,17182
95,17078
100,16948
105,16850
110,16734
115,16597
120,16492
125,24572
130,24448
135,24333
140,24217
145,24086
150,23989
155,23880
160,23763
165,23654
170,23481
175,23414
180,23288
185,23168
190,23075
195,22962
200,22838
205,22740
210,22616
215,22484
220,22394
225,22267
230,22150
235,22045
240,21951
245,21796
250,21711
255,21599
260,21491
265,21399
270,21255
275,21138
280,21030
285,20921
290,20810
295,20687
300,20576
305,20460
310,20341
315,20235
320,20152
325,20016
330,19902
335,19733
340,19693
345,19568
350,19471
355,19351
